eng,sim,tra
"The sign was not physically damaged; the modification was done using black tarpaulins decorated with signs of peace and heart to alter the ""O"" to read lowercase ""e"".",该标志没有受到实际损坏；这一改动是用装饰着和平与爱心标志的黑色防水油布将字母 “O” 改成了可读性强的小写 “e”完成的。,標誌沒有遭到實際損壞，而是用有和平與心型符號裝飾的黑色防水布將字母「O」改成小寫的字母「e」。
"Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism.",赤潮的起因源于腰鞭毛藻的浓度高于正常水平。它是一种自然产生的单细胞海洋生物。,腰鞭毛藻是一種天然生成的單細胞海洋微生物，當此生物的濃度比平常高時，就會出現紅潮。
"Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically.",自然因素可以互相配合产生理想的条件，让这种藻类的数量急剧增加。,自然因素可以交互作用產生理想的環境，讓這種藻類的數量急速增加。
The algae produces a neurotoxin that can disable nerves in both humans and fish.,藻类能产生一种神经毒素，能破坏人类和鱼类的神经。,這種藻類會產生神經毒素，癱瘓人類和魚類的神經。
Fish often die because of the high concentrations of the toxin in the waters.,鱼类经常由于水中毒素浓度极高而死亡。,魚類常死於水中高濃度的毒素。
Humans can be affected by breathing affected water taken into the air by wind and waves.,人如果吸入通过风和海浪进入空气的受污染水气，就可能受到影响。,人類可能會吸入被風和海浪帶入空中的含毒水，因而受到影響。
"At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) .",热带气旋风暴古努（以马尔代夫语中一种以棕榈叶编织的袋子命名），在最高峰时风速可达每小时 240 千米（每小时 149 英里）。,熱帶氣旋古努（以馬爾地夫當地語言的棕梠葉袋子為名）的最高持續風速達到每小時 240 公里（每小時 149 英里）。
"By early today, winds were around 83 km/h, and it was expect to keep weakening.",到今天早些时候，风速为每小时 83 公里左右，预计会不断减弱。,今日稍早時，風速約每小時 83 公里，且預期會持續減弱。
"On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19.",出于对新冠疫情的担忧，美国国家篮球协会 (NBA) 周三暂停了职业篮球赛季。,週三，基於新冠病毒 (COVID-19) 疫情的考量，美國國家籃球協會 (NBA) 宣布暫停其職業籃球賽季。
The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.,犹他爵士队的一名球员新冠肺炎病毒检测呈阳性，NBA 随即做出了这项决定。,一名猶他爵士隊球員確診新冠病毒之後，NBA 做出此決定。
"""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence.",根据这块化石，这意味着分裂较分子证据所预计的要早得多。,「根據這顆化石，那意味著演化分家比分子證據所預料的要早得多。
"That means everything has to be put back,"" said researcher at the Rift Valley Research Service in Ethiopia and a co-author of the study, Berhane Asfaw.",这意味着一切都要推到更久之前。“埃塞俄比亚裂谷研究所的研究员、该研究的合著者 Berhane Asfaw 如是说。,「這意味著所有事情都必須往前推，」衣索比亞「裂谷研究服務」的研究員、也是此研究的共同作者──伯爾漢·阿斯法說道。
"Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States.",到目前为止，由于 AOL 已在美国广泛普及，该公司能够按照自己的节奏推进和开发即时通讯市场。,直至現在，由於美國境內的廣泛使用，AOL 已能夠以自己的步調轉移與發展即時通訊市場。
"With this arrangement in place, this freedom might end.",在这样的安排下，这种自由可能就要结束了。,在這樣的安排下，這種自由可能會告終。
The number of users of the Yahoo! and Microsoft services combined will rival the number of AOL's customers.,雅虎和微软服务的用户总和，与美国在线的客户数不相上下。,雅虎和微軟服務的使用者人數加總，將可匹敵 AOL 的客戶數量。
The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.,北岩银行在 2008 年被收归国有，此前有消息称，该公司获得了英国政府的紧急援助。,在傳出銀行獲得英國政府緊急紓困的消息後，北岩銀行於 2008 年國有化。
Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.,由于在 2007 年次贷危机期间遭到曝光，北岩银行 (Northern Rock) 曾请求政府提供援助。,北岩銀行受 2007 年的次級房貸危機影響而請求協助。
Sir Richard Branson's Virgin Group had a bid for the bank rejected prior to the bank’s nationalisation.,布兰森爵士 (Sir Richard Branson) 的维珍集团 (Virgin Group) 在该银行进行国有化之前曾出价收购，但遭到拒绝。,理查‧布蘭森爵士的維珍集團在該銀行國有化之前曾出價收購但遭拒。
"In 2010, while nationalised, the current high street bank Northern Rock plc was split from the ‘bad bank’, Northern Rock (Asset Management).",2010 年，当时的高街银行北岩银行（Northern Rock plc）在国有化的同时，从 “坏银行” 北岩资产管理公司 （Northern Rock Asset Management）中剥离出来。,2010 年，如今的高街銀行北岩銀行公眾有限公司儘管已經國有化，但卻從被稱為「壞銀行」的北岩（資產管理）分離出來。
"Virgin have only purchased the ‘good bank’ of Northern Rock, not the asset management company.",维珍集团只收购了北岩银行“好的部分”，没有收购其资产管理公司。,維珍集團只購買了北岩銀行旗下的「優良銀行」，而非該資產管理公司。
This is believed to be the fifth time in history that people have observed what turned out to be chemically confirmed martian material falling to Earth.,这被认为是人类历史上第五次观测到经过化学方式证实的火星物质坠落到地球上。,據信這是史上第五次人類發現並經由化學方式證明有火星物質掉落到地球上。
"Out of the approximately 24,000 known meteorites to have fallen to Earth, only about 34 have been verified to be martian in origin.","在已知的大约 24,000 块坠落至地球的陨石中，经核实只有 34 块是来自火星。",地球上將近兩萬四千顆已知的隕石中，只有 34 顆確定來自火星。
Fifteen of these rocks are attributed to the meteorite shower last July.,这些岩石中的十五块来源于去年七月份的流星雨。,其中十五顆岩石來自去年七月的流星雨。
"Some of the rocks, which are very rare on Earth, are being sold from US$11,000 to $22,500 per ounce, which is about ten times more than the cost of gold.","其中一些岩石在地球上非常稀有，售价在每盎司 11,000 美元到 22,500 美元之间，比黄金的价格高出约十倍。","有些地球上非常少見的石頭以每盎司 11,000 到 22,500 美元的價格販售，約是黃金價格的 10 倍。"
"Following the race, Keselowski remains the Drivers' Championship leader with 2,250 points.","比赛结束后，凯塞洛斯基以 2,250 分的成绩，继续在车手积分榜上高居榜首。","比賽結束後，凱瑟洛夫斯基以 2,250 的積分保持車手排行榜的領先地位。"
"Seven points behind, Johnson is second with 2,243.",约翰逊落后 7 分，以 2243 分排名第二。,"強森獲得 2,243 分，以七分之差的成績屈居第二。"
"In third, Hamlin is twenty points behind, but five ahead of Bowyer. Kahne and Truex, Jr. are fifth and sixth respectively with 2,220 and 2,207 points.","哈姆林落后二十分，是第三名，但领先鲍耶五分。卡纳 (Kahne) 和小楚克斯 (Truex, Jr.) 分别以 2,220 和 2,207 分位列第五和第六。",第三名漢姆林落後 20 分，但領先波伊爾 5 分。卡恩和小楚克斯分別以 2220 分和 2207 分位居第五和第六名。
"Stewart, Gordon, Kenseth, and Harvick round out the top-ten positions for the Drivers' Championship with four races remaining in the season.",斯图尔特、戈登 、肯塞斯和哈维克在本赛季还剩四场比赛的情况下，进入车手积分榜前十名。,在賽季仍剩四場賽事的情況下，史都華、戈登、肯瑟斯和哈維克分佔了車手冠軍排行榜的前十名。
The US Navy also said they were investigating the incident.,美国海军还表示，他们正在调查这起事件。,美國海軍表示他們正在調查該起事件。
"They also said in a statement, ""The crew is currently working to determine the best method of safely extracting the ship"".",他们还在一份声明中表示，“船员目前正在确定安全撤离军舰的最佳方法”。,他們也在一項聲明中表示：「全體船員正努力尋求將船安全拖出的方法。」
"An Avenger class mine countermeasures ship, the ship was on its way to Puerto Princesa in Palawan.",这是一艘复仇者级别的反水雷舰，正在前往巴拉望的普林塞萨港的途中。,該艦是復仇者級的反水雷艦，當時正前往巴拉望的普林塞薩港。
"It is assigned to the U.S. Navy’s Seventh Fleet and based in Sasebo, Nagasaki in Japan.",它属于美国海军第七舰队，部署在日本长崎佐世保。,這艘船被派給美國海軍的第七艦隊，並常駐日本長崎的佐世保市。
"The Mumbai attackers arrived via boat on Novemeber 26, 2008, bringing with them grenades, automatic weapons and hit multiple targets including the crowded Chhatrapati Shivaji Terminus railway station and the famous Taj Mahal Hotel.",2008 年 11 月 26 日，孟买袭击者带着手榴弹和自动武器乘船抵达。他们袭击了多个目标，包括人群密集的查特拉帕蒂·希瓦吉 (Chhatrapati Shivaji) 火车站和著名的泰姬陵酒店。,孟買恐攻者在 2008 年 11 月 26 日搭船抵達，他們攜帶著手榴彈和自動武器，並攻擊多個目標，包括擁擠的賈特拉帕蒂·希瓦吉終點站和著名的泰姬瑪哈酒店。
David Headley's scouting and information gathering had helped to enable the operation by the 10 gunmen from the Pakistani militant group Laskhar-e-Taiba.,戴维·黑德利（David Headley）的侦察和情报搜集工作，促使巴基斯坦激进组织虔诚军（Laskhar-e-Taiba）的 10 名枪手发动这次行动。,大衛·韓德利的偵查與資訊聚會促成了由 10 名來自巴基斯坦激進組織虔誠軍的槍手所為的行動。
The attack put a huge strain on relations between India and Pakistan.,这次袭击事件给印巴关系造成了巨大压力。,此攻擊為印度和巴基斯坦間的關係帶來巨大壓力。
"Accompanied by those officials, he assured Texas citizens that steps were being taken to protect the public's safety.",在这些官员的陪同下，他向德克萨斯州的公民保证，政府正在采取措施来保护公众的安全。,在那些官員的陪同下，他向德州居民保證已採取措施保護公眾安全。
"Perry specifically said, ""There are few places in the world better equipped to meet the challenge that is posed in this case.""",佩里特别指出：“世界上几乎没有其他设备更齐全的地方，能更好地应对这种情况下带来的挑战。”,佩里明確指出：「全世界幾乎找不到其他地方比我們準備更周全，足以面對這個案例帶來的挑戰。」
"The governor also stated, ""Today, we learned that some school aged children have been identified as having had contact with the patient.""",州长还表示：“今天，我们得知一些学龄儿童已被确认曾与该患者有过接触。”,州長也表示：「今天，我們得知有些學齡兒童確定曾與病患接觸。」
"He went on to say, ""This case is serious. Rest assured that our system is working as well as it should.""",他又称：“这个病例很严重。但我们的医疗系统运作良好，请大家放心。”,他繼續說道：「這個案子非常嚴重。但可以放心的是，我們的系統運作一如它應有的水準。」
"If confirmed, the find completes Allen's eight-year search for the Musashi.",如果这一发现得到证实，艾伦对武藏号 8 年的搜寻工作就大功告成了。,確認為真的話，這個發現會讓艾倫八年來搜尋武藏號的工作畫下句點。
Following seabed mapping the wreck was found using an ROV.,在测绘海床后，借助遥控无人潜水器 (ROV) 找到了沉船。,完成海床繪圖之後，總算以 ROV 找到了沉船。
"One of the world's richest people, Allen has reportedly invested much of his wealth in marine exploration and began his quest to find the Musashi out of a lifelong interest in the war.",艾伦是世界上最富有的人之一。据报道，他将很大一部分财富投资到海洋勘探上，并因为毕生对战争的浓厚兴趣而开始寻找武藏号。,據報導，身為世界上最富有的人之一，艾倫已將大部分財產投入於海洋探勘中，並出於對戰爭的畢生興趣，開始尋找武藏號。
She gained critical acclaim during her time in Atlanta and was recognized for innovative urban education.,在亚特兰大期间，她获得了评论界的赞誉，并因创新城市教育而得到表彰。,她在亞特蘭大服務期間獲得高度評價，並因創新的城市教育受到肯定。
In 2009 she was awarded the title of National Superintendent of the Year.,2009 年，她被授予全国年度校长称号。,她於 2009 年獲頒年度國家教育局長的頭銜。
"At the time of the award, Atlanta schools had seen a large improvement on test scores.",在她荣获此头衔之际，亚特兰大的学校在考试成绩上有了很大的提高。,在她獲此殊榮之時，亞特蘭大的學校在考試成績上已有大幅提升。
"Shortly after, The Atlanta Journal-Constitution published a report showing problems with test results.",此后不久，《亚特兰大宪法报》发表了一份报告，指出了检测结果存在的问题。,不久之後，亞特蘭大憲法報發布了一份報告，指出測試結果存在問題。
"The report showed test scores had increased implausibly fast, and alleged the school internally detected problems but didn't act on the findings.",报告显示，考试成绩提升速度快得令人难以置信，并称学校内部发现了问题，但没有根据这一发现采取行动。,此報告顯示測驗分數進步速度之快令人難以置信，並指出學校有進行內部調查，但並未對結果採許行動。
"Evidence thereafter indicated test papers were tampered with Hall, along with 34 other education officials, was indicted in 2013.",此后的证据表明试卷被篡改过，霍尔 (Hall) 和其他 34 名教育官员因此在 2013 年被起诉。,此後，有證據顯示試卷經過竄改。霍爾與其他 34 名教育官員在 2013 年被起訴。
The Irish government is stressing the urgency of parliamentary legislation to rectify the situation.,为整顿这一局面，爱尔兰政府迫切希望议会推出立法。,愛爾蘭政府強調議會立法改正此狀況的迫切性。
"""It is now important from both a public health and criminal justice perspective that the legislation be enacted as soon as possible"", said a government spokesperson.",“不管是从公共卫生的角度还是刑事司法的角度来看，现在都应当尽快立法。”一位政府发言人说道。,「就公衛和刑事司法的立場而言，現在最重要的是應盡快頒布法令」，一名政府發言人說道。
"The Health Minister expressed concern both for the welfare of individuals taking advantage of the temporary legality of the substances involved, and for drug-related convictions handed down since the now-unconstitutional changes came into effect.",卫生部长对以下两方面表示了关切：利用所涉物质暂时合法性谋取个人利益的人员保障，以及自（现在看来）违宪的修改条例生效以来所作出的与毒品有关的定罪。,對於趁機利用相關物質的暫時合法性的個人之健康，以及自目前違憲變更生效後毒品相關犯罪的判決，衛生部長都表達了關切之意。
Jarque was practicing during pre-season training at Coverciano in Italy earlier in the day. He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.,今天早些时候，贾克 (Jarque) 在意大利科维尔恰诺 (Coverciano) 进行季前赛训练。在周日与博洛尼亚队 (Bolonia) 对阵之前，他在球队的酒店里下榻。,Jarque 當天稍早在義大利的 Coverciano 進行季前訓練。他在預定週日與 Bolonia 的對戰之前，都待在球隊住宿的飯店中。
He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.,他当时正在球队的酒店下榻，为星期天迎战博洛尼亚队做准备。,在星期天對戰波隆那的球賽之前，他一直待在球隊下榻的飯店裡。
The bus was headed to Six Flags St. Louis in Missouri for the band to play to a sold-out crowd.,当时，大巴车正在开往密苏里州圣路易市的六旗镇，观众正在那里等待乐队的表演，座无虚席。,這輛遊覽車是要前往密蘇里的聖路易六旗樂園，該樂團要在那裡開一場座無虛席的演唱會。
"At 1:15 a.m. Saturday, according to witnesses, the bus was going through a green light when the car made a turn in front of it.",据目击者称，周六凌晨 1 点 15 分，公交车在绿灯通行时，有一辆车在其前方转弯。,據目擊者所述，周六凌晨 1:15 公車在綠燈通行時，汽車在公車前方轉了一個彎。
"As of the night of August 9, the eye of Morakot was about seventy kilometres away from the Chinese province of Fujian.",截至 8 月 9 日晚，台风莫拉克的台风眼距离中国福建省约 70 公里。,截至 8 月 9 日晚間，莫拉克颱風的颱風眼距離中國福建省約有七十公里。
The typhoon is estimated to be moving toward China at eleven kph.,预计台风正以每小时十一公里的速度靠近中国。,預計颱風會以時速 11 公里往中國前進。
Passengers were given water as they waited in 90(F)-degree heat.,因为乘客在90度（F）度的高温下等待，他们得以领取了分发的水。,在華氏 90 度的高溫中，等待中的乘客得以補充水份。
"Fire captain Scott Kouns said, ""It was a hot day in the Santa Clara with temperatures in the 90s.","消防队长斯科特·库恩斯表示：“圣塔克拉拉当天十分燥热，温度得有 90 多华氏度高。""",消防隊長史考特·考恩斯說：「那天聖塔克拉拉非常炎熱，氣溫為華氏 90 幾度。」
"Any length of time trapped on a roller coaster would be uncomfortable, to say the least, and it took at least an hour to get the first person off the ride.""",被困在过山车上的每分每秒都很不舒服，可以毫不夸张地说，我们花了至少一个小时才把第一个人从过山车上救下来。”,退一步來說，無論困在雲霄飛車上的時間長短，這都是令人非常不舒服的經歷，而且至少要花一個小時才能把第一個人從雲霄飛車上救下來。」
"Schumacher who retired in 2006 after winning the Formula 1 championship seven times, was due to replace the injured Felipe Massa.",在赢得一级方程式赛车锦标赛 (Formula 1) 总冠军七次后于 2006 年退役的名将舒马赫 (Schumacher)，将接替受伤的菲利佩·马萨 (Felipe Massa)。,曾七度贏得一級方程式冠軍，已於 2006 年退休的舒馬克原訂要取代受傷之費利佩·馬薩出賽。
The Brazilian suffered a serious head injury after a crash during the 2009 Hungarian Grand Prix.,这位巴西选手在 2009 年匈牙利大奖赛期间发生车祸，头部严重受伤。,這位巴西人在 2009 年匈牙利大獎賽中遭遇車禍，頭部嚴重傷害。
Massa is due to be out for at least the rest of the 2009 season.,马萨 (Massa) 至少在 2009 赛季的其余比赛中都不会出场。,因此馬薩至少會缺席 2009 年賽季的剩餘賽事。
"Arias tested positive for a mild case of the virus, Presidential Minister Rodrigo Arias said.",总统内务大臣罗德里戈·阿里亚斯表示，阿里亚斯的检测结果呈阳性，为轻度病毒感染。,總理大臣羅德里戈·阿里亞斯表示，檢查證實他有病毒的輕微症狀。
"The president's condition is stable, though he will be isolated at home for several days.",尽管总统将居家隔离数日，但他的病情很稳定。,總統目前病情穩定，但依然要在家隔離幾天。
"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting.",“除了发烧和喉咙痛外，我感觉不错，身体状况良好，并以远程办公形式继续着我的工作。,「除了發燒和喉嚨痛之外，我覺得很健康、身體狀況良好，可以用遠端的方式繼續工作。
"I expect to return to all my duties on Monday,"" Arias said in a statement.",阿里亚斯 (Arias) 在一份声明中表示：“我有望在周一恢复所有工作。”,阿里亞斯在一份聲明中表示：「我希望在週一返回我的工作崗位。」
"Felicia, once a Category 4 storm on the Saffir-Simpson Hurricane Scale, weakened to a tropical depression before dissipating Tuesday.",费利西亚 （Felicia） 曾经是萨菲尔-辛普森 （Saffir-Simpson） 飓风级别的 4 级风暴，周二消散前减弱为热带低气压。,原為薩菲爾-辛普森颶風風力等級分類中第四級颶風的費莉希亞在星期二消散前減弱為熱帶低氣壓。
"Its remnants produced showers across most of the islands, though as of yet, no damage or flooding has been reported.",其余威为大部分岛屿带来了阵雨，但截至目前，还没有损坏或洪水的相关报告。,它的殘餘影響為多數島嶼帶來陣雨，不過迄今為止，還沒有災害或洪水的報導。
"The precipitation, reaching 6.34 inches at a gauge on Oahu, was described as ""beneficial"".",欧胡岛（Oahu）的降雨量达到了 6.34 英寸，被称为“有益的”。,歐胡島的降水量經估量已來到 6.34 英寸，可說是「很有幫助」。
Some of the rainfall was accompanied by thunderstorms and frequent lightning.,有些降雨会伴随雷暴和频繁的闪电。,有時降雨會伴隨著雷鳴與經常性的閃電。
"The Twin Otter had been trying to land at Kokoda yesterday as Airlines PNG Flight CG4684, but had aborted once already.",作为巴布亚新几内亚航空公司的 CG4684 次航班，该“双水獭”飞机昨天曾试图降落在科科达机场，但已经失败过一次。,這架巴布亞紐幾內亞航空航班編號 CG4684 的雙水獺飛機，昨天試圖降落在科科達，但已經失敗過一次。
About ten minutes before it was due to land from its second approach it disapeared.,在原计划第二次接近进行着陆前约十分钟，它消失了。,它消失在第二次試圖降落過程中即將著陸的十分鐘前。
The crash site was located today and is so inaccessable that two policemen were dropped into the jungle in order to hike to the scene and seek survivors.,今天，坠机地点已经确定。由于交通不便，两名警察通过直升飞机吊索进入丛林，徒步前往现场搜救幸存者。,墜機地點已於今日確認，且因該地點難以到達，因此由兩名警員空降至叢林裡，以便步行至事故現場尋找倖存者。
The search had been hampered by the same bad weather that had caused the aborted landing.,导致飞机着陆失败的恶劣天气，也使搜索工作受到了阻碍。,搜索行動同樣受到導致無法降落的惡劣天氣阻礙。
"According to reports, an apartment on Macbeth Street exploded due to a gas leak.",据报道，麦克白大街（Macbeth Street）的一间公寓因煤气泄漏而发生爆炸。,根據報導，馬克白街上的一棟公寓因瓦斯外洩而爆炸。
An official with the gas company was reporting to the scene after a neighbor called about a gas leak.,在一位邻居打电话称发生煤气泄漏之后，煤气公司的一名高级职员在现场进行汇报。,在鄰居打電話通報瓦斯洩漏之後，一名瓦斯公司人員隨即到場勘查。
"When the official arrived, the apartment exploded.",官员到达后，公寓发生了爆炸。,該主管到場時，公寓已發生爆炸。
"No major injuries were reported, but at least five people on scene at the time of the explosion were treated for symptoms of shock.",据报告并没有发生重大伤亡，但至少有5 人因身处爆炸现场而出现休克症状，接受了治疗。,無任何重大傷亡匯報，但爆炸發生時，現場至少有五人因產生休克症狀而接受治療。
No one was inside the apartment.,公寓里没有人。,公寓內沒有任何人。
"At the time, nearly 100 residents were evacuated from the area.",当时，该地区有近 100 名居民被疏散。,當時，從該地區撤離了將近 100 位居民。
Both golf and rugby are set to return to the Olympic Games.,高尔夫球和英式橄榄球都将再次回归，成为奥运会正式比赛项目。,高爾夫球和英式橄欖球都將重返奧運會。
"The International Olympic Committee voted to include the sports at its executive board meeting in Berlin today. Rugby, specifically rugby union, and golf were selected over five other sports to be considered to participate in the Olympics.",今天，国际奥委会在柏林举行执行理事会会议，会上投票决定了要纳入的体育项目。橄榄球（更确切地说，联合会式橄榄球）以及高尔夫击败了其他五项运动，被选定为奥运会的参赛项目。,國際奧委會今日於柏林舉行的執行委員會會議中，投票決定將納入比賽的運動種類。英式橄欖球，精確來說是七人制橄欖球，以及高爾夫球，勝過其他五項運動，被列為奧運項目。
"Squash, karate and roller sports tried to get onto the Olympic program as well as baseball and softball, which were voted out of the Olympic Games in 2005.",壁球、空手道和旱冰运动以及棒球和垒球都曾试图进入奥林匹克项目，而后两个项目在 2005 年落选了。,壁球、空手道和滑輪溜冰就像棒球與壘球，都試圖躋身奧運項目，但在 2005 年的投票表決中紛紛落選。
The vote must still be ratified by the full IOC at it's October meeting in Copenhagen.,这项投票还必须于 10 月份在哥本哈根举行的会议上得到 IOC 全体成员的批准。,表決仍需在 10 月份的哥本哈根會議上經國際奧林匹克委員會全體委員批准。
Not all were supportive of the inclusion of the women’s ranks.,并非所有人都支持女性参赛。,並非所有人都支持加入女性的排名。
"2004 Olympic silver medallist Amir Khan said, ""Deep down I think women shouldn’t fight. That’s my opinion.""",2004 年奥运会银牌得主阿米尔·可汗（Amir Khan）表示：“在内心深处，我认为女人不应该参加比赛。这是我的观点。”,2004 年奧運銀牌得主阿米爾·汗說：「我深深認為女性不該參與打鬥。這就是我的想法。」
Despite his comments he said he will be supporting the British competitors at the 2012 Olympics being held in London.,尽管他如此评说，他表示会支持英国选手参加伦敦主办的 2012 年奥运会。,儘管他做出那樣的評論，他仍表示會支持 2012 年倫敦奧運的英國參賽者。
The trial took place at Birmingham Crown Court and concluded on August 3.,审判在伯明翰皇家法院进行，并于 8 月 3 日审结。,審判在伯明翰皇室法院進行，並在 8 月 3 日結束。
"The presenter, who was arrested at the scene, denied the attack and claimed he used the pole to protect himself from bottles being thrown at him by up to thirty people.",现场被捕的主持人否定了袭击，并声称有多达三十个人向他投掷瓶子，他用棍子是为了不让自己受到伤害。,當場被捕的主播否認自己的攻擊行為，聲稱棍子是用來保護自己，因為有多達 30 個人朝他扔瓶子。
Blake was also convicted of attempting to pervert the course of justice.,布雷克（Blake）还因企图妨碍司法公正而被定罪。,布雷克也被以企圖妨礙司法公正定罪。
"The judge told Blake it was ""almost inevitable"" he was going to be sent to jail.",法官告诉布莱克，他的入狱“几乎是铁定的”。,法官告訴布雷克，他「幾乎必定」會被送進監獄。
Dark energy is a completely invisible force that is constantly acting upon the universe.,暗能量是一种完全看不见的能量，不断地驱动宇宙运动。,暗能量是一種完全看不見的力量，不斷作用於宇宙中。
Its existence is known only because of its effects on the expansion of the universe.,人们之所以知道它的存在，只是因为它对宇宙扩张的影响。,人們因為它對宇宙膨脹的影響才確知它的存在。
Scientists have discovered landforms littered across the moon's surface called lobate scarps that have apparently resulted from the moon's shrinking very slowly.,科学家发现了一种遍布月球表面的地貌，称为瓣状裂谷，这显然是由于月球非常缓慢地收缩造成的。,科學家發現月球表面分布許多稱為瓣狀陡坡的地形，顯然是因為月球正極緩慢縮小而形成。
"These scarps were found all over the moon and appear to be minimally weathered, indicating that the geologic events that created them were fairly recent.",这些陡坡在月球上随处可见，而且几乎没有受到风化。这表明形成这些陡坡的地质事件是在相对近期发生的。,月球上到處都是這種陡坡，而且風化程度很小，這顯示創造陡坡的地質事件發生於不久之前。
This theory contradicts the claim that the moon is completely devoid of geologic activity.,该理论反驳了月球上不存在任何地质活动的说法。,此理論與月球完全沒有地質活動的說法相違悖。
The man allegedly drove a three-wheeled vehicle armed with explosives into a crowd.,据说该男子驾驶一辆装有炸药的三轮车驶进了人群当中。,據說這名男子駕著一輛裝有炸藥的三輪車衝進人群。
"The man suspected of detonating the bomb was detained, after sustaining injuries from the blast.",涉嫌引爆炸弹的男子在爆炸中受伤，随后被拘留。,涉嫌引爆炸彈的男子，在爆炸中受傷後被拘留。
"His name is still unknown to authorities, although they do know he is a member of the Uighur ethnic group.",当局仍然不知道他的名字，只知道他是维吾尔族人。,有關當局還不知道他的名字，但他們知道他是維吾爾族的一份子。
"Nadia, born on September 17, 2007, by Cesarean section at a maternity clinic in Aleisk, Russia, weighed in at a massive 17 pounds 1 ounce.",2007年9月17日，纳迪亚在俄罗斯阿莱克斯的一家妇产科诊所的剖腹产出生，体重达17磅1盎司。,2007 年 9 月 17 日，納迪亞 (Nadia) 於俄羅斯阿列伊斯克的一間婦產科診所以剖腹產方式出生，體重重達 17 磅又 1盎司。
"""We were all simply in shock,"" the mother stated.",“我们都非常震惊，”这位母亲表示。,「我們真的都嚇呆了」這位母親表示。
"When asked what the father said, she answered ""He couldn't say a thing - he just stood there blinking.""",当被问及父亲说了什么时，她回答说：“他什么也说不出来，只是站在那里，眨着眼。”,當被問到父親說了什麼時，她回答：「他說不出話來，就只是站在那兒眨著眼。」
"""It's going to behave like water. It's transparent just the way water is.",它会像水一样流动。它和水一样透明。,「它的特性就跟水一樣。透明如水。
"So if you were standing by the shoreline, you would be able to see down to whatever pebbles or gunk that was on the bottom.",所以如果你站在海岸线旁边，就能看到底部的各类鹅卵石或泥状物。,因此，若你站在岸邊，你將能往下看到底部的鵝卵石或泥濘等東西。
"As far as we know, there is only one planetary body that displays more dynamism than Titan, and its name is Earth,"" added Stofan.",斯托芬补充道：“据我们所知，只有一颗行星星体比土卫六表现得更有活力，那就是地球。”,據我們所知，只有一個天體比泰坦星更有活力，它就叫地球。」斯托凡補充說。
The issue started on January 1st when dozens of local residents started complaining to the Obanazawa Post Office that they hadn't received their traditional and regular New Year cards.,该问题从 1 月 1 日开始，当时数十名当地居民开始向奥巴那泽邮局 (Obanazawa Post Office) 投诉，称他们没有收到传统和定期寄送的新年贺卡。,問題始於 1 月 1 號，多位當地居民開始向尾花澤市郵局抱怨他們沒有收到以往都會寄達的傳統新年卡片。
"Yesterday, the post office released their apology to citizens and the media after discovering that the boy had hidden more than 600 postal documents, including 429 New Year postcards, which weren't delivered to their intended recipients.",昨天，在发现男孩隐藏了 600 多份邮政文件后，邮局向市民和媒体道歉，藏起来的文件包括了 429 张未送到收件人手中的新年明信片。,昨天，郵局發現男孩藏了 600 多封的郵遞文件（含 429 張新年賀卡）未遞送給預定收件人後，已向市民與媒體公開道歉。
"The unmanned lunar orbiter Chandrayaan-1 ejected its Moon Impact Probe (MIP), which hurtled across the surface of the Moon at 1.5 kilometres per second (3000 miles per hour), and successfully crash landed near the Moon's south pole.",无人驾驶月球轨道飞行器月船一号发射了月球撞击探测器，该探测器以每秒 1.5 公里(每小时 3000 英里) 的速度掠过月球表面，并在月球南极附近成功硬着陆,無人月球軌道探測器月船 1 號彈出月球撞擊探測器 (MIP)，以每秒 1.5 公里（時速 3000 英里）的速度在月球表面飛馳，成功在月球南極點附近強行著陸。
"Besides carrying three important scientific instruments, the lunar probe also carried the image of the Indian national flag, painted on all sides.",除了搭载三台重要的科学仪器，月球探测器的每一侧都印有印度国旗图案。,除攜帶三項重要科學儀器外，印度月球探測器還在儀器各面彩繪，帶上印度國旗圖像。
"""Thanks for those who supported a convict like me,"" Siriporn was quoted as saying at a press conference.",“有人帮助像我这样的罪犯，感谢那些人。” 报道引用了 Siriporn 在新闻发布会上说的那句话。,「感謝那些支持像我這樣的囚犯的人，」西里彭在記者會上這樣說道。
"""Some may not agree but I don't care.",“有些人可能不同意，但我不在乎。”,「有些人也許不同意，但我不在乎。
I am happy that there are people willing to support me.,看到有人愿意支持我，我很高兴。,很高興看到有人挺我。
